filename log_L z grid_id bin_size_emit alpha beta E_peak background_name bgd_15-25keV bgd_15-50keV bgd25-100keV bgd50-350keV theta flux burst_shape ndet trigger_index
86 4.949585e+01 5.028573e+00 15 2.654028e-01 -1.084231e+00 -2.969724e+00 3.454418e+00 sw00173904000b_bgd.pha 4479.01 8163.65 7179.3 5893.62 44.994283 1.228793e-11 317508_GRB080721 26997 0
87 5.204651e+01 4.647752e+00 08 2.832986e-01 -8.887056e-01 -1.821603e+00 6.950937e+01 sw00332399000b_bgd.pha 4110.63 7688 7203.89 7220.57 46.628525 1.627779e-08 151207_GRB050820A 26997 0
88 5.144775e+01 3.165356e+00 24 3.841208e-01 -4.625261e-01 -2.100169e+00 4.730307e+01 sw00306793000b_bgd.pha 4968.88 9463.55 9758.1 11678.7 19.267549 1.365224e-08 349450_GRB090417B 26997 0
89 5.012817e+01 7.035819e+00 19 1.991085e-01 -1.147690e+00 -2.362241e+00 5.366873e+00 sw00312047000b_bgd.pha 4582.88 8107.15 6938.42 6231.74 44.994283 5.971002e-11 292934_GRB071003 26997 0
90 5.202393e+01 1.905106e+00 13 5.507543e-01 -1.151704e+00 -2.534957e+00 1.316635e+02 sw00362818000b_bgd.pha 3209.25 5937.93 5383.91 4639.69 56.990242 1.811926e-07 131560_GRB050603 26997 0
91 5.156067e+01 2.189502e+00 02 5.016457e-01 -4.238865e-01 -2.264265e+00 7.035196e+01 sw00261299000b_bgd.pha 3890.77 7257.04 6933.49 7152.88 40.675 4.666000e-08 228006_GRB060904B 26997 0
92 5.155457e+01 4.804597e+00 15 2.756436e-01 -6.278863e-01 -1.902838e+00 3.838621e+01 sw00342121000b_bgd.pha 4522.35 7640.66 6100.45 5000.78 44.994283 5.536435e-09 214805_GRB060614 26997 0
93 5.093811e+01 5.743834e+00 29 2.372538e-01 -5.004614e-01 -2.207518e+00 1.624849e+01 sw00287088000b_bgd.pha 3921.01 7228.7 6600.74 5804.38 50.662786 1.025428e-09 278693_GRB070506 26997 0
94 5.114136e+01 5.642526e+00 24 2.408722e-01 -1.042620e+00 -2.484150e+00 2.084539e+01 sw00261664000b_bgd.pha 4054.85 7703.79 7803.65 9177.46 19.267549 1.787220e-09 113120_GRB050401 26997 0
95 5.132812e+01 2.934056e+00 21 4.067049e-01 -9.387853e-01 -2.314252e+00 4.364018e+01 sw00114893000b_bgd.pha 4672.16 8562.9 7546.91 6399.7 56.990242 1.395390e-08 313299_GRB080605 26997 0
96 5.141357e+01 2.748528e+00 20 4.268342e-01 -5.068640e-01 -2.555233e+00 5.053484e+01 sw00155284000b_bgd.pha 4087.98 7548.05 6772.62 5652.83 56.291844 2.413635e-08 357512_GRB090715B 26997 0
97 5.108398e+01 1.125155e+00 03 7.528862e-01 -4.801792e-01 -2.271456e+00 6.099105e+01 sw00353567000b_bgd.pha 3900.89 7298.38 7013.42 6956.85 35.017749 8.086293e-08 156467_GRB050922C 26997 0
98 5.073364e+01 3.997182e+00 22 3.201804e-01 -7.793228e-01 -2.071079e+00 1.732849e+01 sw00219646000b_bgd.pha 3923.81 7274.96 6694.7 6196.51 46.628525 1.331744e-09 217805_GRB060708 26997 0
99 5.183594e+01 4.966934e+00 26 2.681444e-01 -6.774589e-01 -2.368740e+00 5.162762e+01 sw00277582000b_bgd.pha 4685.1 8305.44 7095.81 5956.51 46.628525 1.416631e-08 214805_GRB060614 26997 0
100 5.153748e+01 7.593014e+00 26 1.861978e-01 -4.690516e-01 -2.068120e+00 2.542476e+01 sw00345127000b_bgd.pha 5299.6 8701.75 6913.09 6276.36 46.628525 2.251879e-09 312047_GRB080520 26997 0
101 5.257141e+01 8.343672e+00 29 1.712389e-01 -4.672283e-01 -2.609928e+00 7.688694e+01 sw00291292000b_bgd.pha 5350.4 9190.4 7313.6 6067.2 50.662786 2.594825e-08 309010_GRB080411 26997 0
102 5.205139e+01 7.004084e+00 12 1.998980e-01 -6.182737e-01 -2.726167e+00 4.932292e+01 sw00509717000b_bgd.pha 2872.1 5330.51 4948.45 4823.92 46.628525 1.227958e-08 312047_GRB080520 26997 0
103 5.017822e+01 5.946450e+00 02 2.303335e-01 -1.344564e+00 -2.428157e+00 6.576775e+00 sw00441454000b_bgd.pha 3476.43 6040.9 5057.86 4284.54 40.675 9.784120e-11 130088_GRB050525A 26997 0
104 5.229431e+01 3.792125e+00 29 3.338811e-01 -8.875104e-01 -1.983229e+00 1.089663e+02 sw00342121000b_bgd.pha 4522.35 7640.66 6100.45 5000.78 50.662786 5.019419e-08 335105_GRB081121 26997 0
105 4.991211e+01 5.349586e+00 13 2.519849e-01 -6.766697e-01 -1.950799e+00 5.296315e+00 sw00180151000b_bgd.pha 3611.49 6684.99 5994.91 5041.3 56.990242 8.349544e-11 228581_GRB060908 26997 0
106 5.117554e+01 4.222990e+00 07 3.063379e-01 -8.821614e-01 -1.762199e+00 2.757490e+01 sw00504779000b_bgd.pha 5173.12 9066.16 8232.64 9264.98 56.990242 2.483699e-09 335105_GRB081121 26997 0
107 5.075867e+01 2.075378e+00 22 5.202613e-01 -5.954883e-01 -2.509911e+00 2.898008e+01 sw00261132000b_bgd.pha 5211.13 8624.22 6548.73 5185.16 46.628525 9.753537e-09 163136_GRB051109A 26997 0
108 5.161621e+01 2.198656e+00 30 5.002101e-01 -8.281977e-01 -2.363855e+00 7.478293e+01 sw00318832000b_bgd.pha 5371.38 9084.4 7472.56 7104.22 40.675039 5.488451e-08 309010_GRB080411 26997 0
109 5.165894e+01 4.150365e+00 01 3.106576e-01 -1.699016e+00 -2.663359e+00 4.878590e+01 sw00315080000b_bgd.pha 4184 7665.82 7105.62 7202.85 50.694 1.070025e-08 150314_GRB050814 26997 0
110 5.186829e+01 1.292375e+00 10 6.979662e-01 -1.187035e+00 -2.294135e+00 1.394832e+02 sw00359711000b_bgd.pha 3442.18 6258.42 5650.5 5340.5 19.267549 2.848502e-07 319036_GRB080805 26997 1
111 5.176636e+01 8.134342e+00 15 1.751631e-01 -1.185748e+00 -2.413330e+00 3.112906e+01 sw00323542000b_bgd.pha 5120.89 9598.42 9367.97 9923.91 44.994283 3.414195e-09 319036_GRB080805 26997 0
112 5.252747e+01 2.423243e+00 12 4.673930e-01 -1.032804e+00 -2.363267e+00 1.995077e+02 sw00228006000b_bgd.pha 4170.64 7689.3 6977.2 6106.61 46.628525 2.525873e-07 217704_GRB060707 26997 1
113 5.031189e+01 5.602857e+00 08 2.423194e-01 -1.395870e+00 -2.292068e+00 8.070074e+00 sw00217805000b_bgd.pha 3757.44 6953.68 6319.12 5541.5 46.628525 1.730296e-10 163438_GRB051111 26997 0
114 4.970703e+01 5.257432e+00 12 2.556959e-01 -7.261202e-01 -1.943873e+00 4.244085e+00 sw00150314000b_bgd.pha 4111.34 7592.13 6998.1 6609.54 46.628525 5.257088e-11 308041_GRB080330 26997 0
115 5.176392e+01 4.193696e+00 14 3.080658e-01 -3.367680e-01 -2.022447e+00 5.459414e+01 sw00221755000b_bgd.pha 4107.76 7631.07 7158.81 6823.12 56.291844 1.373711e-08 224552_GRB060814 26997 0
116 5.085510e+01 2.209641e+00 27 4.984981e-01 -1.042046e+00 -2.552245e+00 3.102840e+01 sw00341749000b_bgd.pha 3887.6 7261.33 6978.67 7087.33 56.990242 9.783606e-09 177408_GRB060115 26997 0
