filename log_L z grid_id bin_size_emit alpha beta E_peak background_name bgd_15-25keV bgd_15-50keV bgd25-100keV bgd50-350keV theta flux burst_shape ndet trigger_index
89 5.221069e+01 4.437812e+00 01 2.942360e-01 -1.525264e+00 -2.888937e+00 8.721417e+01 sw00278693000b_bgd.pha 3988 7317.7 6598.67 5863.52 50.694 3.762211e-08 234905_GRB061021 27147 0
90 5.186829e+01 8.468171e+00 31 1.689872e-01 -1.145308e+00 -2.745509e+00 3.377082e+01 sw00377179000b_bgd.pha 3541.71 6604.95 6300.36 6474.82 35.017749 4.361920e-09 359951_GRB090814A 27147 0
91 5.177551e+01 4.570855e+00 30 2.872090e-01 -8.264208e-01 -2.192385e+00 5.158210e+01 sw00349450000b_bgd.pha 3561.1 6581.09 5993.81 5182.62 40.675039 1.310707e-08 192059_GRB060223A 27147 0
92 5.173035e+01 5.636423e+00 15 2.410937e-01 -9.151777e-01 -2.163378e+00 4.110587e+01 sw00315080000b_bgd.pha 4184 7665.82 7105.62 7202.85 44.994283 7.103482e-09 308041_GRB080330 27147 0
93 5.181885e+01 2.508684e+00 23 4.560115e-01 -7.198607e-01 -2.357902e+00 8.608831e+01 sw00163765000b_bgd.pha 3689.73 6780.83 6082.78 5256.67 31.393231 6.222837e-08 151905_GRB050824 27147 1
94 5.166870e+01 5.210440e+00 19 2.576307e-01 -1.034544e+00 -2.317077e+00 4.091596e+01 sw00331856000b_bgd.pha 3909.6 7240 6524 5593.6 44.994283 7.841799e-09 302888_GRB080210 27147 0
95 4.934326e+01 3.052453e+00 20 3.948226e-01 -9.737187e-01 -2.194223e+00 4.310995e+00 sw00154630000b_bgd.pha 3935.26 7267.9 6597.76 5823.9 56.291844 7.517818e-11 359711_GRB090812 27147 0
96 4.782959e+01 4.129461e-01 02 1.132386e+00 -7.871765e-01 -2.366505e+00 2.164382e+00 sw00231231000b_bgd.pha 5122.37 8504.64 6626.38 5444.64 40.675 2.478707e-10 350311_GRB090424 27147 0
97 5.185730e+01 3.482097e+00 05 3.569758e-01 -1.178301e+00 -2.494850e+00 7.044225e+01 sw00263361000b_bgd.pha 3548.13 6557.76 5907.3 4914 50.662786 3.242211e-08 240766_GRB061126 27147 0
98 5.251892e+01 1.727512e+00 16 5.866152e-01 -9.106787e-01 -2.372260e+00 2.479467e+02 sw00230711000b_bgd.pha 3641.89 6798.37 6447.51 6284.65 26.557574 4.795531e-07 209755_GRB060512 27147 1
99 5.008667e+01 3.779919e+00 13 3.347337e-01 -9.914459e-01 -2.386757e+00 8.601595e+00 sw00114753000b_bgd.pha 4006.1 7485.9 6968 6824.9 56.990242 2.850110e-10 208654_GRB060505 27147 0
100 5.115845e+01 2.188892e+00 15 5.017417e-01 -8.512716e-01 -2.321247e+00 4.428417e+01 sw00349447000b_bgd.pha 3665.82 6757.55 6101.47 5194.74 44.994283 1.942280e-08 159994_GRB051016B 27147 0
101 5.050171e+01 3.331966e+00 15 3.693473e-01 -7.946375e-01 -2.795906e+00 1.530503e+01 sw00293795000b_bgd.pha 4599.41 8585.49 7739.74 6180.19 44.994283 1.338823e-09 306778_GRB080319C 27147 0
102 5.084656e+01 3.743302e+00 16 3.373178e-01 -7.063211e-01 -2.252321e+00 2.079039e+01 sw00202442000b_bgd.pha 5611.2 9113.32 6808.19 5790.87 26.557574 2.349061e-09 232683_GRB061007 27147 0
103 5.164551e+01 5.688297e+00 08 2.392238e-01 -8.913136e-01 -1.904659e+00 3.699158e+01 sw00201391000b_bgd.pha 3245.14 6007.65 5457.97 4650.46 46.628525 4.634776e-09 358422_GRB090726 27147 0
104 5.146606e+01 4.262659e+00 05 3.040288e-01 -1.357823e+00 -2.180132e+00 3.823769e+01 sw00155242000b_bgd.pha 3817.66 7032.14 6286.9 5314.08 50.662786 6.545414e-09 217704_GRB060707 27147 0
105 5.111328e+01 3.795786e+00 23 3.336262e-01 -1.027386e+00 -1.970150e+00 2.795409e+01 sw00424733000b_bgd.pha 4209.1 7704.54 6872 5742.29 31.393231 3.397425e-09 228581_GRB060908 27147 0
106 5.157349e+01 2.716183e+00 25 4.305494e-01 -1.115205e+00 -2.528819e+00 6.127886e+01 sw00358574000b_bgd.pha 3621.34 6547.81 5841.47 5219.09 31.393231 3.172646e-08 324895_GRB080916A 27147 1
107 5.051697e+01 4.152806e+00 21 3.105104e-01 -1.242540e+00 -2.180872e+00 1.309497e+01 sw00445414000b_bgd.pha 3642.58 6743.82 6143.79 5485.26 56.990242 6.693277e-10 295670_GRB071031 27147 0
108 5.176392e+01 6.312014e+00 20 2.188180e-01 -8.604457e-01 -2.459076e+00 3.877801e+01 sw00348650000b_bgd.pha 3901.14 7328.46 7097.54 7238.8 56.291844 6.932049e-09 239899_GRB061121 27147 0
109 5.200012e+01 2.387236e+00 27 4.723615e-01 -6.851921e-01 -2.290592e+00 1.098703e+02 sw00331475000b_bgd.pha 3970.66 7410.99 6956.4 6422.37 56.990242 9.446921e-08 358422_GRB090726 27147 0
110 5.194275e+01 4.229703e+00 01 3.059447e-01 -4.069521e-01 -2.433910e+00 6.661347e+01 sw00341504000b_bgd.pha 5522.13 9252.82 7414.08 6634.31 50.694 2.716923e-08 113120_GRB050401 27147 0
111 5.210266e+01 4.455511e+00 20 2.932814e-01 -8.071054e-01 -2.507507e+00 7.676438e+01 sw00301578000b_bgd.pha 618.544 1027.23 793.744 626.72 56.291844 3.417400e-08 114753_GRB050416A 27147 0
